,Open,Close,sign,hold,balance,netAsset,profit
2020-06-02,3969.95,3983.57,1.0,442.0,1183.6748300069012,1755901.5748300068,0.0
2020-09-09,4634.25,4584.59,-1.0,0.0,2048498.005580007,2048498.005580007,291719.0718000005
2020-10-13,4812.9,4839.2,1.0,425.0,1992.7643300073687,2047475.2643300071,0.0
2020-10-28,4703.0,4737.27,-1.0,0.0,1999768.3768300074,1999768.3768300074,-48729.62874999968
2020-10-30,4776.47,4695.33,1.0,418.0,2205.634600007441,1998770.0946000076,0.0
2020-11-02,4702.75,4720.83,-1.0,0.0,1966972.2598500075,1966972.2598500075,-32796.11697999993
2020-11-04,4781.45,4813.66,1.0,411.0,813.72187500773,1965989.6718750077,0.0
2020-12-14,4903.63,4934.83,-1.0,0.0,2015197.9559100077,2015197.9559100077,48225.69606000022
2020-12-18,5014.32,4999.97,1.0,401.0,3450.2647500080056,2014192.5847500078,0.0
2020-12-31,5122.48,5211.29,0.0,401.0,3450.2647500080056,2093177.554750008,0.0
2021-01-04,5212.93,5267.72,0.0,401.0,3450.2647500080056,2115805.984750008,0.0
2021-02-26,5343.9,5336.76,-1.0,0.0,2145282.7128000082,2145282.7128000082,2141832.4480500002
2021-04-07,5141.66,5103.74,1.0,417.0,138.45669000875205,2144210.6766900085,0.0
2021-04-08,5078.26,5112.21,-1.0,0.0,2116714.0594800087,2116714.0594800087,-28568.653319999576
2021-04-22,5114.28,5089.24,1.0,413.0,3460.320660009049,2115657.9606600087,0.0
2021-04-27,5076.64,5090.52,-1.0,0.0,2099064.314500009,2099064.314500009,-17649.744979999494
2021-04-28,5073.97,5119.24,1.0,413.0,2466.929695009254,2098016.5396950096,0.0
2021-05-07,5073.46,4996.05,-1.0,0.0,2096758.2402050092,2096758.2402050092,-2306.0742949999403
2021-05-18,5190.93,5187.6,1.0,403.0,3767.4778100093827,2095712.2678100094,0.0
2021-06-16,5163.25,5080.49,-1.0,0.0,2083516.8329350094,2083516.8329350094,-13241.40726999985
2021-06-29,5248.52,5190.54,1.0,396.0,4063.7059750093613,2082477.6259750095,0.0
2021-07-05,5073.78,5085.79,-1.0,0.0,2012275.9775350094,2012275.9775350094,-71240.8554
2021-12-09,5000.69,5078.69,1.0,402.0,993.4588450095616,2011270.8388450094,0.0
2021-12-21,4876.51,4913.49,-1.0,0.0,1960370.3003350096,1960370.3003350096,-51905.6771999998
2021-12-31,4937.46,4940.37,0.0,0.0,1960370.3003350096,1960370.3003350096,0.0
