shortMA,mediumMA,netAsset
4,72,8396049.052760039
4,73,7972239.987790034
4,74,8093437.442680046
4,75,8343365.840765048
4,76,8767506.886650048
4,77,9537487.270860054
4,78,10251534.539655043
4,79,10114967.287625045
4,80,10588585.453995047
4,81,10556851.08760504
4,82,10413994.884905037
4,83,10093914.228745049
4,84,8933038.03462005
4,85,8366582.1349550355
4,86,8413512.185190039
4,87,8783776.984265033
4,88,8613596.569155045
4,89,9037135.546230033
4,90,8840751.918185031
4,91,9561501.866865037
4,92,10307025.990190038
4,93,9605073.070735034
4,94,9584879.613635033
4,95,9769763.419080032
4,96,9404846.862765035
4,97,9981885.915350042
4,98,9914372.93995004
4,99,10060717.96928004
4,100,9991648.269485053
5,20,4983986.6644950565
5,21,4044537.497365056
5,22,3304159.0499350475
5,23,3148507.4008200397
5,24,4280179.397685051
5,25,4818878.662945054
5,26,4646902.081195041
5,27,5522202.574185041
5,28,6157593.330280054
5,29,6582018.2550650425
5,30,6720844.753850042
5,31,8314343.826345074
5,32,8672943.75552505
5,33,8104829.725095045
5,34,6850594.082660039
5,35,7947209.289890046
5,36,8189678.045655054
5,37,8891643.581710054
5,38,8495380.35839005
5,39,9907550.774370067
5,40,9281669.450550059
5,41,9953451.672730044
5,42,11249448.239180062
5,43,11571299.211955052
5,44,11180867.778965054
5,45,10628947.99520505
5,46,9913438.663035057
5,47,9112735.488890052
5,48,9266245.287900046
5,49,8938150.216680044
5,50,9397775.918080045
5,51,9635796.60359004
5,52,10061065.825905053
5,53,10029233.202780047
5,54,9895527.906225055
5,55,10891761.035695048
5,56,11387787.943650046
5,57,10002261.069500038
5,58,10053702.984255033
5,59,10016672.685750045
5,60,10281644.90033504
5,61,9564239.58764005
5,62,10563537.38437504
5,63,11147262.95660005
5,64,10300648.560440049
5,65,10196441.681180052
5,66,9550841.497405054
5,67,9960724.344365051
5,68,10466787.014045043
5,69,10096842.15223004
5,70,10404854.332540035
5,71,10038468.146085037
5,72,10043757.436985044
5,73,11209231.869965052
5,74,11183783.749905048
5,75,10021671.846990034
5,76,10752927.602515046
5,77,10540798.958825042
5,78,10844775.730305046
5,79,10683828.371720044
5,80,10968607.763230048
5,81,11114987.903505046
5,82,10493001.91954004
5,83,9878386.405920034
5,84,9344449.052865043
5,85,9642745.992235035
5,86,9694306.684075031
5,87,8806746.359210026
5,88,9061310.797405029
5,89,7971859.118875036
5,90,9415425.495330028
5,91,9820107.437325029
5,92,10088655.536480036
5,93,9548399.894130027
5,94,9228289.203875037
5,95,8895372.148040023
5,96,9059315.56227503
5,97,9795676.41907003
5,98,9936317.522850031
5,99,9903247.270115029
5,100,9975419.971995037
6,20,3263241.387405049
6,21,3248281.0663100397
6,22,4146939.31473004
6,23,4291111.600385051
6,24,4667177.624115053
6,25,5266748.929950046
6,26,6071441.571415052
6,27,5868683.447870047
6,28,6764533.3282700535
6,29,7990835.591550057
6,30,9429326.56033007
6,31,8438074.28616504
6,32,7994761.959470064
6,33,7891238.103195046
6,34,8939343.505720051
6,35,10409659.598445082
6,36,10149616.081890054
6,37,11075215.625465056
6,38,11377815.300405055
6,39,11936191.443050062
6,40,10963404.22862506
6,41,11282961.44071505
6,42,11596043.235090071
6,43,11771915.943345055
6,44,10861911.250320049
6,45,8870406.51813504
6,46,8856155.978590058
6,47,9462864.352945043
6,48,9278805.04558506
6,49,8489693.225560049
6,50,8524697.493005035
6,51,8983344.762255035
6,52,10125711.598970037
6,53,10815704.85449004
6,54,9589837.151025034
6,55,10584371.457350038
6,56,10929920.689285042
6,57,10831023.34187503
6,58,11316697.571370048
6,59,11120657.322580049
6,60,11325707.227865055
6,61,11776256.127260044
6,62,11517254.364940053
6,63,11560040.295915047
6,64,11142966.286595047
6,65,10519183.612950059
6,66,10347130.53178505
6,67,10754763.861995043
6,68,10227131.644095046
6,69,10450246.330470042
6,70,9621037.750380032
6,71,9768452.571460025
6,72,10134260.222605024
6,73,11650766.30127505
6,74,11703387.81613504
6,75,11348833.611105038
6,76,12330862.526680047
6,77,11971880.194235045
6,78,12144207.574820038
6,79,12410526.854680035
6,80,11255713.515105043
6,81,10363809.060045037
6,82,10697863.413535027
6,83,11119438.93050504
6,84,9831606.937855033
6,85,9670394.916220026
6,86,9519588.963035025
6,87,7934476.779145025
6,88,8796268.448755022
6,89,8161303.64659003
6,90,8608749.207825033
6,91,7948341.873290022
6,92,8121705.801190024
6,93,8166347.85668503
6,94,7957537.625670028
6,95,8423426.735725023
6,96,8586175.768665021
6,97,9491350.696930032
6,98,9493948.961130034
6,99,9765872.09536503
6,100,11235157.679445036
7,20,4514938.344885056
7,21,4407696.411935049
7,22,4185777.295950043
7,23,5967359.984085062
7,24,5676072.490790052
7,25,5422207.697205038
7,26,6451110.910700044
7,27,6625892.810135059
7,28,7826861.832015058
7,29,8253870.108605055
7,30,8557150.87276005
7,31,8262896.667510057
7,32,8431041.995710053
7,33,10247385.697330065
7,34,11316676.367795067
7,35,9807681.599620054
7,36,8463186.966660056
7,37,9349900.134430055
7,38,10456354.533410063
7,39,11481103.00864006
7,40,12128757.663245061
7,41,13311968.749720072
7,42,12126930.23414506
7,43,11796970.31240506
7,44,11809753.022485062
7,45,11567447.055165043
7,46,9830881.680865047
