,Close,netAsset,closeFR,netAssetFR
2017-01-25,3375.9,1451334.7954250004,0.44886546525152027,0.4513347954250004
2017-01-26,3387.96,1456508.5354250004,0.4540413642742796,0.45650853542500036
2017-02-03,3364.49,1446439.9054250002,0.4439685325940007,0.4464399054250002
2017-02-06,3373.21,1450180.7854250004,0.44771097367845036,0.45018078542500034
2017-02-07,3365.68,1448839.7807600005,0.44447925563190155,0.4488397807600005
2017-02-08,3383.29,1448839.7807600005,0.45203709823478655,0.4488397807600005
2017-02-09,3396.29,1448839.7807600005,0.4576164255395852,0.4488397807600005
2017-02-10,3413.49,1454578.3586000004,0.4649983047428572,0.4545783586000004
2017-02-13,3436.27,1464282.6386000004,0.4747750028969583,0.4642826386000004
2017-02-14,3435.8,1464082.4186000004,0.47457328875593874,0.46408241860000043
2017-02-15,3421.71,1458080.0786000004,0.4685261563155838,0.4580800786000004
2017-02-16,3440.93,1466267.7986000003,0.4767749771462168,0.46626779860000034
2017-02-17,3421.44,1457965.0586000003,0.4684102779792534,0.45796505860000036
2017-02-20,3471.39,1457321.4492800003,0.4898477702003835,0.4573214492800003
2017-02-21,3482.82,1457321.4492800003,0.49475328643837196,0.4573214492800003
2017-02-22,3489.76,1457321.4492800003,0.4977317888610876,0.4573214492800003
2017-02-23,3473.32,1457321.4492800003,0.4906760857156345,0.4573214492800003
2017-02-24,3473.85,1457321.4492800003,0.4909035505980608,0.4573214492800003
2017-02-27,3446.22,1457321.4492800003,0.4790453341802464,0.4573214492800003
2017-02-28,3452.81,1457321.4492800003,0.4818736239447559,0.4573214492800003
2017-03-01,3458.44,1457321.4492800003,0.48428990184675724,0.4573214492800003
2017-03-02,3435.1,1457321.4492800003,0.47427286343952635,0.4573214492800003
2017-03-03,3427.86,1457321.4492800003,0.4711656073097771,0.4573214492800003
2017-03-06,3446.48,1457321.4492800003,0.4791569207263425,0.4573214492800003
2017-03-07,3453.96,1457321.4492800003,0.4823671798217189,0.4573214492800003
2017-03-08,3448.73,1457321.4492800003,0.4801225735290961,0.4573214492800003
2017-03-09,3426.94,1449842.1959300006,0.47077076260820666,0.44984219593000063
2017-03-10,3427.89,1450244.0459300005,0.47117848268048035,0.4502440459300005
2017-03-13,3458.1,1463022.8759300006,0.4841439809787855,0.4630228759300006
2017-03-14,3456.69,1462426.4459300006,0.48353883855572666,0.46242644593000065
2017-03-15,3463.64,1465366.2959300005,0.4865216327686766,0.4653662959300005
2017-03-16,3481.51,1472925.3059300005,0.49419106191765766,0.4729253059300005
2017-03-17,3445.81,1457824.2059300004,0.4788693707806336,0.4578242059300004
2017-03-20,3449.61,1459431.6059300005,0.48050025106972866,0.45943160593000054
2017-03-21,3466.35,1466512.6259300006,0.4876847079222154,0.46651262593000054
2017-03-22,3450.05,1459617.7259300007,0.48068908984004494,0.45961772593000066
2017-03-23,3461.98,1464664.1159300006,0.4858091955897562,0.46466411593000057
2017-03-24,3489.6,1476347.3759300006,0.4976631202173361,0.47634737593000054
2017-03-27,3478.04,1471457.4959300004,0.49270181070629976,0.4714574959300004
2017-03-28,3469.81,1467976.2059300004,0.4891696673433388,0.4679762059300004
2017-03-29,3465.19,1466021.9459300006,0.48718686025501806,0.4660219459300006
2017-03-30,3436.76,1453996.0559300005,0.47498530061844696,0.4539960559300005
2017-03-31,3456.05,1462155.7259300007,0.48326416398072125,0.46215572593000065
2017-04-05,3503.89,1482392.0459300005,0.5037960884623801,0.4823920459300005
2017-04-06,3514.05,1486689.7259300007,0.5081565473405921,0.48668972593000065
2017-04-07,3517.46,1488132.1559300006,0.5096200478105432,0.4881321559300006
2017-04-10,3505.14,1482920.7959300005,0.5043325622416877,0.4829207959300005
2017-04-11,3517.33,1488077.1659300006,0.5095642545374951,0.4880771659300006
2017-04-12,3509.44,1484739.6959300006,0.5061780320425058,0.4847396959300006
2017-04-13,3514.57,1486909.6859300006,0.5083797204327841,0.4869096859300006
2017-04-14,3486.5,1475036.0759300005,0.49633266524465336,0.4750360759300005
2017-04-17,3479.94,1469749.4769200005,0.4935172508508473,0.4697494769200005
2017-04-18,3462.74,1469749.4769200005,0.48613537164757514,0.4697494769200005
2017-04-19,3445.88,1469749.4769200005,0.47889941331227487,0.4697494769200005
2017-04-20,3461.55,1469749.4769200005,0.4856246486096745,0.4697494769200005
2017-04-21,3466.79,1469749.4769200005,0.4878735466925317,0.4697494769200005
2017-04-24,3431.26,1469749.4769200005,0.4726248159894937,0.4697494769200005
2017-04-25,3440.97,1469749.4769200005,0.4767921443071546,0.4697494769200005
2017-04-26,3445.18,1469749.4769200005,0.47859898799586253,0.4697494769200005
2017-04-27,3446.72,1469749.4769200005,0.4792599236919694,0.4697494769200005
2017-04-28,3439.75,1469091.9887250005,0.47626854589855055,0.4690919887250005
2017-05-02,3426.58,1463468.3987250004,0.47061625815976604,0.46346839872500045
2017-05-03,3413.13,1457725.2487250005,0.46484380029441674,0.45772524872500053
