,Open,Close,sign,hold,balance,netAsset,profit,preClose,preShortEMA,preMediumEMA,preLongEMA
2020-03-02,3968.84,4069.67,-1.0,0.0,1789798.114000005,1789798.114000005,-47359.21008499991,3940.05,4032.9081387295228,4045.197396583441,3954.919701803254
2020-03-04,4078.5,4115.05,1.0,438.0,2521.922500004992,1788904.922500005,0.0,4091.36,4065.111729942628,4052.743621991854,3959.0402620883747
2020-03-12,3976.11,3950.91,-1.0,0.0,1743187.3344100052,1743187.3344100052,-46610.7795899997,4028.43,4060.114435272203,4069.337436278782,3971.8310625517965
2020-05-06,3867.26,3936.25,1.0,450.0,2050.200910005253,1742317.2009100053,0.0,3912.58,3872.252850951928,3824.8772651970035,3883.0010231952397
2020-05-25,3828.32,3829.32,-1.0,0.0,1723932.8289100053,1723932.8289100053,-19254.50549999997,3824.06,3886.519207298571,3900.08420107485,3892.1099672319547
2020-06-02,3969.95,3983.57,1.0,434.0,113.04976000566967,1723071.3497600055,0.0,3971.34,3905.437230215722,3890.412091777949,3890.4594519770267
2020-08-14,4627.61,4704.63,-1.0,0.0,2007491.5983900055,2007491.5983900055,283558.76948000025,4635.71,4665.94872847268,4671.0942112452785,4236.180260875303
2020-08-17,4727.12,4815.23,1.0,424.0,2190.568950005807,2006489.4489500057,0.0,4704.63,4681.4212370836085,4674.820409995803,4243.923231769927
2020-09-08,4683.83,4694.39,-1.0,0.0,1987141.5169900057,1987141.5169900057,-20350.08139999979,4669.37,4748.429373048814,4757.819635196796,4367.262615110759
2020-10-13,4812.9,4839.2,1.0,412.0,3235.2595900059678,1986150.0595900058,0.0,4823.16,4705.356154037343,4662.084716631255,4442.489066108991
2020-10-27,4680.14,4699.28,-1.0,0.0,1930488.8307500063,1930488.8307500063,-56652.686239999486,4691.24,4730.884342040551,4733.0036345223525,4493.526808053696
2020-10-30,4776.47,4695.33,1.0,403.0,4608.962045006221,1929526.3720450064,0.0,4772.92,4744.6801378807595,4734.899507373722,4505.396481065546
2020-11-02,4702.75,4720.83,-1.0,0.0,1898869.6079200064,1898869.6079200064,-31619.222829999868,4695.33,4724.940082728455,4730.502895443308,4508.535878072727
2020-11-04,4781.45,4813.66,1.0,396.0,4468.680820006644,1897922.8808200066,0.0,4777.56,4745.001629782244,4734.77611491817,4516.433551628162
2020-12-14,4903.63,4934.83,-1.0,0.0,1945335.2420800067,1945335.2420800067,46465.634160000365,4889.63,4939.199691062532,4962.9482414373415,4679.493845785546
2020-12-18,5014.32,4999.97,1.0,387.0,3823.1311600070912,1944364.971160007,0.0,5017.48,4974.5047919617045,4964.349525518571,4697.801424261517
2020-12-31,5122.48,5211.29,0.0,387.0,3823.1311600070912,2020592.361160007,0.0,5113.71,5068.526678507613,5014.247855299079,4744.434152963315
2021-01-04,5212.93,5267.72,0.0,387.0,3823.1311600070912,2042430.7711600072,0.0,5211.29,5211.29,5110.816328803455,4675.870855780782
2021-01-15,5471.39,5458.08,-1.0,0.0,2120192.347195008,2120192.347195008,2116369.216035001,5470.46,5470.46,5498.12204442145,4764.38207211729
2021-01-19,5525.97,5437.52,1.0,383.0,2687.613940007519,2119134.1239400078,0.0,5518.52,5518.52,5496.023130853979,4783.31244384691
2021-01-20,5439.91,5476.43,-1.0,0.0,2085131.4011750077,2085131.4011750077,-35060.94602000015,5437.52,5437.52,5476.522087235986,4791.9204380068195
2021-01-22,5562.38,5569.78,1.0,374.0,3761.1161150077824,2084091.236115008,0.0,5564.97,5564.97,5505.984260993772,4810.980338259757
2021-01-27,5505.77,5528.0,-1.0,0.0,2061889.5171250082,2061889.5171250082,-23241.884049999528,5512.97,5512.97,5544.416447701859,4840.522036337602
2021-02-03,5499.3,5485.2,1.0,374.0,4122.948025008431,2060861.1480250084,0.0,5501.09,5501.09,5455.689861425761,4878.625795935013
