sellD,buyD,netAsset
27,77,881695.2991100212
27,78,885279.4573600201
27,79,815157.9172200218
27,80,834292.5850750218
27,81,837364.1185150255
27,82,805093.5161100251
27,83,818193.4958800254
27,84,815471.0559900267
27,85,931815.3075400275
27,86,952455.3859700273
27,87,910997.1006350291
27,88,918315.3307950305
27,89,857491.997000031
27,90,852508.6270200281
28,10,996009.12556
28,11,896819.2996700002
28,12,896819.2996700002
28,13,893844.4944300003
28,14,844616.6239450008
28,15,794041.2648750009
28,16,736132.5875550008
28,17,755071.3167100021
28,18,687765.968355002
28,19,541217.5407700017
28,20,523884.6601600019
28,21,494583.73757000174
28,22,574681.0782300022
28,23,424634.60998000193
28,24,450031.9304550023
28,25,384268.34516500204
28,26,376966.6085050022
28,27,386689.12758500275
28,28,388702.4335250028
28,29,494481.2317100055
28,30,539976.9526600068
28,31,443357.6866050037
28,32,421325.7083500045
28,33,405338.8821500056
28,34,404283.12806500617
28,35,382589.8716300054
28,36,359024.3138950056
28,37,358448.56928000605
28,38,430308.70829500695
28,39,424178.0580350069
28,40,409028.90723500715
28,41,429586.3466850078
28,42,465668.02250000753
28,43,477490.7605950077
28,44,458224.51095500815
28,45,508723.27814500843
28,46,497850.7997850079
28,47,440400.87330000784
28,48,430190.63298500894
28,49,400631.90071000945
28,50,419347.7880250094
28,51,449911.28413501097
28,52,458231.7722950107
28,53,470959.9392550106
28,54,469001.88749501057
28,55,474628.0139300113
28,56,486022.9151400115
28,57,455172.0767000112
28,58,537269.1239750131
28,59,500359.3651800117
28,60,498542.8440850119
28,61,606565.0016800129
28,62,592493.5135750122
28,63,569634.817275013
28,64,577502.4722350171
28,65,548372.0705300175
