,real,predict,bestPastDays,bestMa,ratio
2015-09-22,2237.31,2214.42837854498,,,
2015-09-23,2178.55,2239.7644224811575,,,
2015-09-24,2188.09,2178.0045948086727,,,
2015-09-25,2183.4,2184.1894341573543,,,
2015-09-28,2169.94,2180.552829153087,,,
2015-09-29,2127.2,2165.4743053401285,,,
2015-09-30,2146.12,2123.973747067438,,,
2015-10-08,2191.34,2144.889475154741,,,
2015-10-09,2219.29,2190.081944925573,,,
2015-10-12,2283.43,2218.040210133016,,,
2015-10-13,2270.95,2293.368708974633,,,
2015-10-14,2253.91,2268.195471054584,,,
2015-10-15,2297.9,2253.8651616986563,,,
2015-10-16,2323.78,2298.753369220084,,,
2015-10-19,2318.47,2322.2185982725555,,,
2015-10-20,2337.08,2318.2524954967485,,,
2015-10-21,2340.36,2335.2879692515503,,,
2015-10-22,2331.79,2345.065367025613,,,
2015-10-23,2343.96,2331.4742339628274,,,
2015-10-26,2350.02,2341.1989563155544,,,
2015-10-27,2349.9,2349.457851502133,,,
2015-10-28,2310.7,2346.3452547029265,,,
2015-10-29,2307.35,2307.946448940753,,,
2015-10-30,2312.97,2302.8921247598914,,,
2015-11-02,2280.09,2312.6014849650933,,,
2015-11-03,2271.65,2278.9845494983456,,,
2015-11-04,2370.5,2268.513494005611,,,
2015-11-05,2440.65,2379.736745628097,,,
2015-11-06,2493.48,2464.626010986568,,,
2015-11-09,2534.08,2501.2709274875265,,,
2015-11-10,2522.68,2549.6621287877256,,,
2015-11-11,2505.83,2529.0843201884722,,,
2015-11-12,2476.43,2501.6025279105256,,,
2015-11-13,2447.77,2473.654872825521,,,
2015-11-16,2447.29,2447.8819060208807,,,
2015-11-17,2453.26,2445.6214610202614,,,
2015-11-18,2439.45,2460.031450022034,,,
2015-11-19,2468.49,2439.073633050428,,,
2015-11-20,2466.76,2465.235276042952,,,
2015-11-23,2456.84,2463.7254857337953,,,
2015-11-24,2447.9,2455.212870021985,,,
2015-11-25,2459.56,2442.0215471314846,,,
2015-11-26,2450.96,2455.5379346873656,,,
2015-11-27,2334.44,2448.663022700974,,,
2015-11-30,2336.29,2338.2480451814654,,,
2015-12-01,2344.83,2335.0343083387083,,,
2015-12-02,2458.41,2344.703058540846,,,
2015-12-03,2461.45,2472.2104926020816,,,
2015-12-04,2397.56,2464.7382836189267,,,
2015-12-07,2395.58,2395.8541450059283,,,
2015-12-08,2364.34,2390.0528225267158,,,
2015-12-09,2369.74,2359.957433060759,,,
2015-12-10,2357.21,2367.8463584028786,,,
2015-12-11,2342.45,2358.6401569835516,,,
2015-12-14,2414.92,2338.502191757076,,,
2015-12-15,2383.83,2423.2450652115463,,,
2015-12-16,2376.54,2379.8375410396534,,,
2015-12-17,2408.32,2371.7209808100192,,,
2015-12-18,2422.83,2408.052496971542,,,
2015-12-21,2500.06,2428.899059852469,,,
2015-12-22,2496.05,2510.0817965836363,,,
2015-12-23,2503.06,2491.9539695356107,,,
2015-12-24,2481.75,2508.7763730983884,,,
2015-12-25,2492.34,2478.4119638246493,,,
2015-12-28,2411.41,2486.846152082582,,,
2015-12-29,2432.88,2413.271186829488,,,
2015-12-30,2432.77,2429.1723542561103,,,
2015-12-31,2420.8,2426.1323624468505,,,
2016-01-04,2270.46,2416.6461810682613,,,
2016-01-05,2288.11,2275.5817747835154,,,
2016-01-06,2317.65,2294.3512355933703,,,
2016-01-07,2180.59,2316.1964429495706,,,
2016-01-08,2219.61,2182.258065511508,,,
2016-01-11,2120.23,2220.1103137228106,,,
2016-01-12,2131.37,2124.6671864403097,,,
2016-01-13,2105.51,2129.7611190204334,,,
2016-01-14,2132.08,2105.3247432432468,,,
2016-01-15,2070.93,2137.7201494673395,,,
2016-01-18,2069.27,2071.8313477377424,,,
2016-01-19,2128.57,2073.6746753239977,,,
2016-01-20,2088.72,2131.8020763938407,,,
2016-01-21,2040.98,2087.924618456636,,,
2016-01-22,2061.96,2049.0629403131497,,,
2016-01-25,2065.44,2058.8311197270655,,,
2016-01-26,1951.61,2062.0880823916723,,,
2016-01-27,1953.46,1955.7128272187695,,,
2016-01-28,1912.72,1951.0270382574433,,,
2016-01-29,1973.01,1914.9018293473323,,,
2016-02-01,1937.07,1979.9515236293903,,,
2016-02-02,1969.62,1935.8345020537188,,,
2016-02-03,1952.37,1972.1668095705568,,,
2016-02-04,1974.24,1948.9246569680788,,,
2016-02-05,1967.26,1973.7472844972776,,,
2016-02-15,1948.28,1965.3208846926514,,,
2016-02-16,2000.9,1950.5845544162794,,,
2016-02-17,2014.44,2003.4483964451229,,,
2016-02-18,2009.27,2013.7590336859919,,,
2016-02-19,2004.11,2008.892990746682,,,
2016-02-22,2053.86,2001.4744800371616,,,
2016-02-23,2029.52,2055.60730226997,,,
2016-02-24,2041.39,2026.3274968734145,,,
2016-02-25,1932.6,2039.3114610971368,,,
2016-02-26,1955.4,1936.670062515129,,,
2016-02-29,1944.61,1954.2483052136615,,,
2016-03-01,1973.19,1939.8625872055568,,,
2016-03-02,2043.41,1976.233085469814,,,
2016-03-03,2053.27,2048.2123350546985,,,
2016-03-04,2122.27,2051.0276487368856,,,
2016-03-07,2107.67,2129.760101252336,,,
2016-03-08,2115.16,2106.577119907719,,,
2016-03-09,2111.92,2110.5824988138174,,,
2016-03-10,2061.45,2111.619679043341,,,
2016-03-11,2070.72,2061.8846433235713,,,
2016-03-14,2078.41,2069.3469653135303,,,
2016-03-15,2101.12,2082.802795761237,,,
2016-03-16,2136.13,2099.6887476731627,,,
2016-03-17,2131.48,2139.3527560241423,,,
2016-03-18,2141.18,2131.615101438451,,,
2016-03-21,2193.39,2142.2094296515993,,,
2016-03-22,2173.26,2198.613307769399,,,
2016-03-23,2175.28,2172.2864168046635,,,
2016-03-24,2137.59,2172.941103227714,,,
2016-03-25,2149.2,2134.221322913922,,,
2016-03-28,2123.03,2147.20521402541,,,
2016-03-29,2106.86,2123.422465180487,,,
2016-03-30,2157.53,2104.689703318052,,,
2016-03-31,2156.54,2157.469978909913,,,
2016-04-01,2167.78,2153.32000124827,,,
2016-04-05,2180.26,2163.1256555937366,,,
2016-04-06,2168.04,2180.2857872037894,,,
2016-04-07,2139.4,2164.5779320967545,,,
2016-04-08,2123.8,2137.4283936719617,,,
2016-04-11,2148.44,2120.0863200227195,,,
2016-04-12,2143.9,2148.9637515981362,,,
2016-04-13,2171.31,2139.3341351374656,,,
2016-04-14,2178.87,2174.653319222848,,,
2016-04-15,2182.07,2175.3531506858653,,,
2016-04-18,2158.23,2178.467152159252,,,
2016-04-19,2163.61,2154.029957670032,,,
2016-04-20,2154.89,2159.1696593407755,,,
2016-04-21,2147.72,2149.5291583272483,,,
2016-04-22,2157.72,2149.194295671589,,,
2016-04-25,2148.28,2156.08843168432,,,
