sellJ,buyJ,netAsset
34,37,970685.9392850187
34,38,989890.4355350195
34,39,1030825.6610100205
34,40,991130.8536600221
34,41,1046313.2851950207
34,42,1068428.3856500222
34,43,1129493.457410024
34,44,1171877.7532800224
34,45,1129670.6220950214
34,46,1132792.7867050217
34,47,1232098.114230023
34,48,1249434.954995024
34,49,1323513.5461800285
34,50,1281954.083495028
34,51,1291067.019010029
34,52,1156687.0566700273
34,53,1138924.6719500266
34,54,1173912.5881300266
34,55,1150326.6204200294
34,56,1127677.187405028
34,57,1132172.6240900264
34,58,1103439.291315026
34,59,1179398.9958200278
34,60,1165940.7350250275
34,61,1148765.3202450282
